Mount Agent On:
var sunTrackingInterval = 60 *" + 1976 characters
Scripting Agent.AGENT_SCRIPTING_SCRIPT_2.NAME = "demo2"
Scripting Agent.AGENT_SCRIPTING_SCRIPT_2.SCRIPT = "// Simple test script for INDIGO scripting

// Log a message to the INDIGO serve" + 496 characters
Scripting Agent.INFO.DEVICE_NAME = "Scripting Agent"
Scripting Agent.INFO.DEVICE_DRIVER = "indigo_agent_scripting"
Scripting Agent.INFO.DEVICE_VERSION = "2.0.0.9"
Scripting Agent.INFO.DEVICE_INTERFACE = "16384"
Mount SynScan.POLARSCOPE.BRIGHTNESS = 255.000000
Mount SynScan.MOUNT_INFO.VENDOR = "Sky-Watcher SynScan"
Mount SynScan.MOUNT_INFO.MODEL = "HEQ5"
Mount SynScan.MOUNT_INFO.FIRMWARE_VERSION = "2.04"
Mount SynScan.GEOGRAPHIC_COORDINATES.LATITUDE = 39.099722
Mount SynScan.GEOGRAPHIC_COORDINATES.LONGITUDE = 265.421389
Mount SynScan.GEOGRAPHIC_COORDINATES.ELEVATION = 150.000000
Mount SynScan.MOUNT_LST_TIME.TIME = 17.571185
Mount SynScan.MOUNT_PARK.PARKED = OFF
Mount SynScan.MOUNT_PARK.UNPARKED = ON
Mount SynScan.MOUNT_PARK_SET.CURRENT = OFF
Mount SynScan.MOUNT_PARK_SET.DEFAULT = OFF
Mount SynScan.MOUNT_PARK_POSITION.HA = 6.000000
Mount SynScan.MOUNT_PARK_POSITION.DEC = 90.000000
Mount SynScan.MOUNT_HOME.HOME = OFF
Mount SynScan.MOUNT_HOME_SET.CURRENT = OFF
Mount SynScan.MOUNT_HOME_SET.DEFAULT = OFF
Mount SynScan.MOUNT_HOME_POSITION.HA = 6.000000
Mount SynScan.MOUNT_HOME_POSITION.DEC = 90.000000
Mount SynScan.MOUNT_SLEW_RATE.GUIDE = ON
Mount SynScan.MOUNT_SLEW_RATE.CENTERING = OFF
Mount SynScan.MOUNT_SLEW_RATE.FIND = OFF
Mount SynScan.MOUNT_SLEW_RATE.MAX = OFF
Mount SynScan.MOUNT_MOTION_DEC.NORTH = OFF
Mount SynScan.MOUNT_MOTION_DEC.SOUTH = OFF
Mount SynScan.MOUNT_MOTION_RA.WEST = OFF
Mount SynScan.MOUNT_MOTION_RA.EAST = OFF
Mount SynScan.MOUNT_TRACK_RATE.SIDEREAL = ON
Mount SynScan.MOUNT_TRACK_RATE.SOLAR = OFF
Mount SynScan.MOUNT_TRACK_RATE.LUNAR = OFF
Mount SynScan.MOUNT_TRACKING.ON = OFF
Mount SynScan.MOUNT_TRACKING.OFF = ON
Mount SynScan.MOUNT_GUIDE_RATE.RA = 50.000000
Mount SynScan.MOUNT_GUIDE_RATE.DEC = 50.000000
Mount SynScan.MOUNT_ON_COORDINATES_SET.TRACK = ON
Mount SynScan.MOUNT_ON_COORDINATES_SET.SYNC = OFF
Mount SynScan.MOUNT_ON_COORDINATES_SET.SLEW = OFF
Mount SynScan.MOUNT_EQUATORIAL_COORDINATES.RA = 15.717550
Mount SynScan.MOUNT_EQUATORIAL_COORDINATES.DEC = 79.112793
Mount SynScan.MOUNT_HORIZONTAL_COORDINATES.AZ = 352.224957
Mount SynScan.MOUNT_HORIZONTAL_COORDINATES.ALT = 48.539641
Mount SynScan.MOUNT_ABORT_MOTION.ABORT_MOTION = OFF
Mount SynScan.MOUNT_ALIGNMENT_MODE.SINGLE_POINT = OFF
Mount SynScan.MOUNT_ALIGNMENT_MODE.NEAREST_POINT = ON
Mount SynScan.MOUNT_RAW_COORDINATES.RA = 8.224786
Mount SynScan.MOUNT_RAW_COORDINATES.DEC = -59.162832
Mount SynScan.MOUNT_ALIGNMENT_SELECT_POINTS.0 = ON
Mount SynScan.MOUNT_ALIGNMENT_SELECT_POINTS.1 = ON
Mount SynScan.MOUNT_ALIGNMENT_SELECT_POINTS.2 = ON
Mount SynScan.MOUNT_ALIGNMENT_SELECT_POINTS.3 = ON
Mount SynScan.MOUNT_ALIGNMENT_SELECT_POINTS.4 = ON
Mount SynScan.MOUNT_ALIGNMENT_SELECT_POINTS.5 = ON
Mount SynScan.MOUNT_ALIGNMENT_DELETE_POINTS.ALL = OFF
Mount SynScan.MOUNT_ALIGNMENT_DELETE_POINTS.0 = OFF
Mount SynScan.MOUNT_ALIGNMENT_DELETE_POINTS.1 = OFF
Mount SynScan.MOUNT_ALIGNMENT_DELETE_POINTS.2 = OFF
Mount SynScan.MOUNT_ALIGNMENT_DELETE_POINTS.3 = OFF
Mount SynScan.MOUNT_ALIGNMENT_DELETE_POINTS.4 = OFF
Mount SynScan.MOUNT_ALIGNMENT_DELETE_POINTS.5 = OFF
Mount SynScan.MOUNT_ALIGNMENT_RESET.RESET = OFF
Mount SynScan.MOUNT_EPOCH.EPOCH = 2000.000000
Mount SynScan.MOUNT_SIDE_OF_PIER.EAST = OFF
Mount SynScan.MOUNT_SIDE_OF_PIER.WEST = ON
Mount SynScan.SNOOP_DEVICES.JOYSTICK = ""
Mount SynScan.SNOOP_DEVICES.GPS = ""
Mount SynScan.INFO.DEVICE_NAME = "Mount SynScan"
Mount SynScan.INFO.DEVICE_DRIVER = "indigo_mount_synscan"
Mount SynScan.INFO.DEVICE_VERSION = "2.0.0.19"
Mount SynScan.INFO.DEVICE_INTERFACE = "1"
Mount SynScan.CONFIG.LOAD = OFF
Mount SynScan.CONFIG.SAVE = OFF
Mount SynScan.CONFIG.REMOVE = OFF
Mount SynScan.PROFILE_NAME.NAME_0 = "Profile #0"
Mount SynScan.PROFILE_NAME.NAME_1 = "Profile #1"
Mount SynScan.PROFILE_NAME.NAME_2 = "Profile #2"
Mount SynScan.PROFILE_NAME.NAME_3 = "Profile #3"
Mount SynScan.PROFILE_NAME.NAME_4 = "Profile #4"
Mount SynScan.PROFILE.PROFILE_0 = ON
Mount SynScan.PROFILE.PROFILE_1 = OFF
Mount SynScan.PROFILE.PROFILE_2 = OFF
Mount SynScan.PROFILE.PROFILE_3 = OFF
Mount SynScan.PROFILE.PROFILE_4 = OFF
Mount SynScan.DEVICE_PORT.PORT = "/dev/ttyUSB0"
Mount SynScan.DEVICE_BAUDRATE.BAUDRATE = "9600-8N1"
Mount SynScan.DEVICE_PORTS.REFRESH = OFF
Mount SynScan.DEVICE_PORTS./dev/ttyUSB0 = OFF
Mount SynScan.DEVICE_PORTS./dev/ttyACM0 = OFF
Mount SynScan.DEVICE_PORTS./dev/serial0 = OFF
Mount SynScan.DEVICE_PORTS./dev/ttyAMA0 = OFF
Mount SynScan.DEVICE_PORTS./dev/ttyAMA10 = OFF
Mount SynScan.ADDITIONAL_INSTANCES.COUNT = 0.000000
Mount SynScan.CONNECTION.CONNECTED = ON
Mount SynScan.CONNECTION.DISCONNECTED = OFF
Mount SynScan (guider).INFO.DEVICE_NAME = "Mount SynScan (guider)"
Mount SynScan (guider).INFO.DEVICE_DRIVER = "indigo_mount_synscan"
Mount SynScan (guider).INFO.DEVICE_VERSION = "2.0.0.19"
Mount SynScan (guider).INFO.DEVICE_INTERFACE = "4"
Mount SynScan (guider).CONFIG.LOAD = OFF
Mount SynScan (guider).CONFIG.SAVE = OFF
Mount SynScan (guider).CONFIG.REMOVE = OFF
Mount SynScan (guider).PROFILE_NAME.NAME_0 = "Profile #0"
Mount SynScan (guider).PROFILE_NAME.NAME_1 = "Profile #1"
Mount SynScan (guider).PROFILE_NAME.NAME_2 = "Profile #2"
Mount SynScan (guider).PROFILE_NAME.NAME_3 = "Profile #3"
Mount SynScan (guider).PROFILE_NAME.NAME_4 = "Profile #4"
Mount SynScan (guider).PROFILE.PROFILE_0 = ON
Mount SynScan (guider).PROFILE.PROFILE_1 = OFF
Mount SynScan (guider).PROFILE.PROFILE_2 = OFF
Mount SynScan (guider).PROFILE.PROFILE_3 = OFF
Mount SynScan (guider).PROFILE.PROFILE_4 = OFF
Mount SynScan (guider).CONNECTION.CONNECTED = OFF
Mount SynScan (guider).CONNECTION.DISCONNECTED = ON
Mount Agent.MOUNT_RAW_COORDINATES.RA = 8.225064
Mount Agent.MOUNT_RAW_COORDINATES.DEC = -59.162832
Mount SynScan.MOUNT_RAW_COORDINATES.RA = 8.225064
Mount SynScan.MOUNT_RAW_COORDINATES.DEC = -59.162832
Mount Agent.AGENT_MOUNT_EQUATORIAL_COORDINATES.RA = 15.717550
Mount Agent.AGENT_MOUNT_EQUATORIAL_COORDINATES.DEC = 79.112793
Mount Agent.AGENT_MOUNT_DISPLAY_COORDINATES_PROPERTY.RA_JNOW = 15.698788
Mount Agent.AGENT_MOUNT_DISPLAY_COORDINATES_PROPERTY.DEC_JNOW = 79.032265
Mount Agent.AGENT_MOUNT_DISPLAY_COORDINATES_PROPERTY.ALT = 48.539203
Mount Agent.AGENT_MOUNT_DISPLAY_COORDINATES_PROPERTY.AZ = 352.223955
Mount Agent.AGENT_MOUNT_DISPLAY_COORDINATES_PROPERTY.AIRMASS = 1.314028
Mount Agent.AGENT_MOUNT_DISPLAY_COORDINATES_PROPERTY.HA = 1.872675
Mount Agent.AGENT_MOUNT_DISPLAY_COORDINATES_PROPERTY.RISE = 0.000000
Mount Agent.AGENT_MOUNT_DISPLAY_COORDINATES_PROPERTY.TRANSIT = 0.491335
Mount Agent.AGENT_MOUNT_DISPLAY_COORDINATES_PROPERTY.SET = 24.000000
Mount Agent.AGENT_MOUNT_DISPLAY_COORDINATES_PROPERTY.TIME_TO_TRANSIT = 10.099673
Mount Agent.AGENT_MOUNT_DISPLAY_COORDINATES_PROPERTY.FLIP_REQUIRED = 0.000000
Mount Agent.AGENT_MOUNT_DISPLAY_COORDINATES_PROPERTY.PARALLACTIC_ANGLE = 146.503215
Mount Agent.AGENT_MOUNT_DISPLAY_COORDINATES_PROPERTY.DEROTATION_RATE = 17.467373
Mount Agent.AGENT_LIMITS.HA_TRACKING = 1.872675
Mount Agent.AGENT_LIMITS.LOCAL_TIME = 21.358889
Mount Agent.AGENT_LIMITS.COORDINATES_PROPAGATE_THESHOLD = 0.001389
Mount Agent.MOUNT_SIDE_OF_PIER.EAST = OFF
Mount Agent.MOUNT_SIDE_OF_PIER.WEST = ON
Mount SynScan.MOUNT_SIDE_OF_PIER.EAST = OFF
Mount SynScan.MOUNT_SIDE_OF_PIER.WEST = ON
Mount Agent.AGENT_MOUNT_EQUATORIAL_COORDINATES.RA = 15.717828
Mount Agent.AGENT_MOUNT_EQUATORIAL_COORDINATES.DEC = 79.112793
Mount Agent.AGENT_MOUNT_DISPLAY_COORDINATES_PROPERTY.RA_JNOW = 15.699064
Mount Agent.AGENT_MOUNT_DISPLAY_COORDINATES_PROPERTY.DEC_JNOW = 79.032273
Mount Agent.AGENT_MOUNT_DISPLAY_COORDINATES_PROPERTY.ALT = 48.539631
Mount Agent.AGENT_MOUNT_DISPLAY_COORDINATES_PROPERTY.AZ = 352.224956
Mount Agent.AGENT_MOUNT_DISPLAY_COORDINATES_PROPERTY.AIRMASS = 1.314020
Mount Agent.AGENT_MOUNT_DISPLAY_COORDINATES_PROPERTY.HA = 1.872399
Mount Agent.AGENT_MOUNT_DISPLAY_COORDINATES_PROPERTY.RISE = 0.000000
Mount Agent.AGENT_MOUNT_DISPLAY_COORDINATES_PROPERTY.TRANSIT = 0.491611
Mount Agent.AGENT_MOUNT_DISPLAY_COORDINATES_PROPERTY.SET = 24.000000
Mount Agent.AGENT_MOUNT_DISPLAY_COORDINATES_PROPERTY.TIME_TO_TRANSIT = 10.099948
Mount Agent.AGENT_MOUNT_DISPLAY_COORDINATES_PROPERTY.FLIP_REQUIRED = 0.000000
Mount Agent.AGENT_MOUNT_DISPLAY_COORDINATES_PROPERTY.PARALLACTIC_ANGLE = 146.508037
Mount Agent.AGENT_MOUNT_DISPLAY_COORDINATES_PROPERTY.DEROTATION_RATE = 17.467562
Mount Agent.AGENT_LIMITS.HA_TRACKING = 1.872399
Mount Agent.AGENT_LIMITS.LOCAL_TIME = 21.358889
Mount Agent.AGENT_LIMITS.COORDINATES_PROPAGATE_THESHOLD = 0.001389
Mount Agent.MOUNT_EQUATORIAL_COORDINATES.RA = 15.717828
Mount Agent.MOUNT_EQUATORIAL_COORDINATES.DEC = 79.112793
Mount SynScan.MOUNT_EQUATORIAL_COORDINATES.RA = 15.717828
Mount SynScan.MOUNT_EQUATORIAL_COORDINATES.DEC = 79.112793
Mount Agent.MOUNT_HORIZONTAL_COORDINATES.AZ = 352.359030
Mount Agent.MOUNT_HORIZONTAL_COORDINATES.ALT = 48.501631
Mount SynScan.MOUNT_HORIZONTAL_COORDINATES.AZ = 352.359030
Mount SynScan.MOUNT_HORIZONTAL_COORDINATES.ALT = 48.501631
Mount Agent.MOUNT_LST_TIME.TIME = 17.571463
Mount SynScan.MOUNT_LST_TIME.TIME = 17.571463
Mount Agent.MOUNT_RAW_COORDINATES.RA = 8.225064
Mount Agent.MOUNT_RAW_COORDINATES.DEC = -59.162832
Mount SynScan.MOUNT_RAW_COORDINATES.RA = 8.225064
Mount SynScan.MOUNT_RAW_COORDINATES.DEC = -59.162832
Mount Agent.AGENT_MOUNT_EQUATORIAL_COORDINATES.RA = 15.717828
Mount Agent.AGENT_MOUNT_EQUATORIAL_COORDINATES.DEC = 79.112793
Mount Agent.AGENT_MOUNT_DISPLAY_COORDINATES_PROPERTY.RA_JNOW = 15.699064
Mount Agent.AGENT_MOUNT_DISPLAY_COORDINATES_PROPERTY.DEC_JNOW = 79.032273
Mount Agent.AGENT_MOUNT_DISPLAY_COORDINATES_PROPERTY.ALT = 48.539631
Mount Agent.AGENT_MOUNT_DISPLAY_COORDINATES_PROPERTY.AZ = 352.224956
Mount Agent.AGENT_MOUNT_DISPLAY_COORDINATES_PROPERTY.AIRMASS = 1.314020
Mount Agent.AGENT_MOUNT_DISPLAY_COORDINATES_PROPERTY.HA = 1.872399
Mount Agent.AGENT_MOUNT_DISPLAY_COORDINATES_PROPERTY.RISE = 0.000000
Mount Agent.AGENT_MOUNT_DISPLAY_COORDINATES_PROPERTY.TRANSIT = 0.491611
Mount Agent.AGENT_MOUNT_DISPLAY_COORDINATES_PROPERTY.SET = 24.000000
Mount Agent.AGENT_MOUNT_DISPLAY_COORDINATES_PROPERTY.TIME_TO_TRANSIT = 10.099948
Mount Agent.AGENT_MOUNT_DISPLAY_COORDINATES_PROPERTY.FLIP_REQUIRED = 0.000000
Mount Agent.AGENT_MOUNT_DISPLAY_COORDINATES_PROPERTY.PARALLACTIC_ANGLE = 146.508037
Mount Agent.AGENT_MOUNT_DISPLAY_COORDINATES_PROPERTY.DEROTATION_RATE = 17.467562
Mount Agent.AGENT_LIMITS.HA_TRACKING = 1.872399
Mount Agent.AGENT_LIMITS.LOCAL_TIME = 21.358889
Mount Agent.AGENT_LIMITS.COORDINATES_PROPAGATE_THESHOLD = 0.001389
Mount Agent.MOUNT_SIDE_OF_PIER.EAST = OFF
Mount Agent.MOUNT_SIDE_OF_PIER.WEST = ON
Mount SynScan.MOUNT_SIDE_OF_PIER.EAST = OFF
Mount SynScan.MOUNT_SIDE_OF_PIER.WEST = ON
Mount Agent.AGENT_MOUNT_EQUATORIAL_COORDINATES.RA = 15.717828
Mount Agent.AGENT_MOUNT_EQUATORIAL_COORDINATES.DEC = 79.112793
Mount Agent.AGENT_MOUNT_DISPLAY_COORDINATES_PROPERTY.RA_JNOW = 15.699064
Mount Agent.AGENT_MOUNT_DISPLAY_COORDINATES_PROPERTY.DEC_JNOW = 79.032273
Mount Agent.AGENT_MOUNT_DISPLAY_COORDINATES_PROPERTY.ALT = 48.539631
Mount Agent.AGENT_MOUNT_DISPLAY_COORDINATES_PROPERTY.AZ = 352.224956
Mount Agent.AGENT_MOUNT_DISPLAY_COORDINATES_PROPERTY.AIRMASS = 1.314020
Mount Agent.AGENT_MOUNT_DISPLAY_COORDINATES_PROPERTY.HA = 1.872399
Mount Agent.AGENT_MOUNT_DISPLAY_COORDINATES_PROPERTY.RISE = 0.000000
Mount Agent.AGENT_MOUNT_DISPLAY_COORDINATES_PROPERTY.TRANSIT = 0.491611
Mount Agent.AGENT_MOUNT_DISPLAY_COORDINATES_PROPERTY.SET = 24.000000
Mount Agent.AGENT_MOUNT_DISPLAY_COORDINATES_PROPERTY.TIME_TO_TRANSIT = 10.099948
Mount Agent.AGENT_MOUNT_DISPLAY_COORDINATES_PROPERTY.FLIP_REQUIRED = 0.000000
Mount Agent.AGENT_MOUNT_DISPLAY_COORDINATES_PROPERTY.PARALLACTIC_ANGLE = 146.508037
Mount Agent.AGENT_MOUNT_DISPLAY_COORDINATES_PROPERTY.DEROTATION_RATE = 17.467562
Mount Agent.AGENT_LIMITS.HA_TRACKING = 1.872399
Mount Agent.AGENT_LIMITS.LOCAL_TIME = 21.358889
Mount Agent.AGENT_LIMITS.COORDINATES_PROPAGATE_THESHOLD = 0.001389
Mount Agent.MOUNT_EQUATORIAL_COORDINATES.RA = 15.717828
Mount Agent.MOUNT_EQUATORIAL_COORDINATES.DEC = 79.112793
Mount SynScan.MOUNT_EQUATORIAL_COORDINATES.RA = 15.717828
Mount SynScan.MOUNT_EQUATORIAL_COORDINATES.DEC = 79.112793
Mount Agent.MOUNT_HORIZONTAL_COORDINATES.AZ = 352.359030
Mount Agent.MOUNT_HORIZONTAL_COORDINATES.ALT = 48.501631
Mount SynScan.MOUNT_HORIZONTAL_COORDINATES.AZ = 352.359030
Mount SynScan.MOUNT_HORIZONTAL_COORDINATES.ALT = 48.501631
Mount Agent.MOUNT_LST_TIME.TIME = 17.571463
Mount SynScan.MOUNT_LST_TIME.TIME = 17.571463
Mount Agent.MOUNT_RAW_COORDINATES.RA = 8.225343
Mount Agent.MOUNT_RAW_COORDINATES.DEC = -59.162832
Mount SynScan.MOUNT_RAW_COORDINATES.RA = 8.225343
Mount SynScan.MOUNT_RAW_COORDINATES.DEC = -59.162832
Mount Agent.AGENT_MOUNT_EQUATORIAL_COORDINATES.RA = 15.717828
Mount Agent.AGENT_MOUNT_EQUATORIAL_COORDINATES.DEC = 79.112793
Mount Agent.AGENT_MOUNT_DISPLAY_COORDINATES_PROPERTY.RA_JNOW = 15.699064
Mount Agent.AGENT_MOUNT_DISPLAY_COORDINATES_PROPERTY.DEC_JNOW = 79.032273
Mount Agent.AGENT_MOUNT_DISPLAY_COORDINATES_PROPERTY.ALT = 48.539192
Mount Agent.AGENT_MOUNT_DISPLAY_COORDINATES_PROPERTY.AZ = 352.223955
Mount Agent.AGENT_MOUNT_DISPLAY_COORDINATES_PROPERTY.AIRMASS = 1.314029
Mount Agent.AGENT_MOUNT_DISPLAY_COORDINATES_PROPERTY.HA = 1.872677
Mount Agent.AGENT_MOUNT_DISPLAY_COORDINATES_PROPERTY.RISE = 0.000000
Mount Agent.AGENT_MOUNT_DISPLAY_COORDINATES_PROPERTY.TRANSIT = 0.491611
Mount Agent.AGENT_MOUNT_DISPLAY_COORDINATES_PROPERTY.SET = 24.000000
Mount Agent.AGENT_MOUNT_DISPLAY_COORDINATES_PROPERTY.TIME_TO_TRANSIT = 10.099671
Mount Agent.AGENT_MOUNT_DISPLAY_COORDINATES_PROPERTY.FLIP_REQUIRED = 0.000000
Mount Agent.AGENT_MOUNT_DISPLAY_COORDINATES_PROPERTY.PARALLACTIC_ANGLE = 146.503185
Mount Agent.AGENT_MOUNT_DISPLAY_COORDINATES_PROPERTY.DEROTATION_RATE = 17.467369
Mount Agent.AGENT_LIMITS.HA_TRACKING = 1.872677
Mount Agent.AGENT_LIMITS.LOCAL_TIME = 21.359167
Mount Agent.AGENT_LIMITS.COORDINATES_PROPAGATE_THESHOLD = 0.001389
Mount Agent.MOUNT_SIDE_OF_PIER.EAST = OFF
Mount Agent.MOUNT_SIDE_OF_PIER.WEST = ON
Mount SynScan.MOUNT_SIDE_OF_PIER.EAST = OFF
Mount SynScan.MOUNT_SIDE_OF_PIER.WEST = ON
Mount Agent.AGENT_MOUNT_EQUATORIAL_COORDINATES.RA = 15.718107
Mount Agent.AGENT_MOUNT_EQUATORIAL_COORDINATES.DEC = 79.112793
Mount Agent.AGENT_MOUNT_DISPLAY_COORDINATES_PROPERTY.RA_JNOW = 15.699341
Mount Agent.AGENT_MOUNT_DISPLAY_COORDINATES_PROPERTY.DEC_JNOW = 79.032282
Mount Agent.AGENT_MOUNT_DISPLAY_COORDINATES_PROPERTY.ALT = 48.539621
Mount Agent.AGENT_MOUNT_DISPLAY_COORDINATES_PROPERTY.AZ = 352.224956
Mount Agent.AGENT_MOUNT_DISPLAY_COORDINATES_PROPERTY.AIRMASS = 1.314021
Mount Agent.AGENT_MOUNT_DISPLAY_COORDINATES_PROPERTY.HA = 1.872401
Mount Agent.AGENT_MOUNT_DISPLAY_COORDINATES_PROPERTY.RISE = 0.000000
Mount Agent.AGENT_MOUNT_DISPLAY_COORDINATES_PROPERTY.TRANSIT = 0.491886
Mount Agent.AGENT_MOUNT_DISPLAY_COORDINATES_PROPERTY.SET = 24.000000
Mount Agent.AGENT_MOUNT_DISPLAY_COORDINATES_PROPERTY.TIME_TO_TRANSIT = 10.099946
Mount Agent.AGENT_MOUNT_DISPLAY_COORDINATES_PROPERTY.FLIP_REQUIRED = 0.000000
Mount Agent.AGENT_MOUNT_DISPLAY_COORDINATES_PROPERTY.PARALLACTIC_ANGLE = 146.508007
Mount Agent.AGENT_MOUNT_DISPLAY_COORDINATES_PROPERTY.DEROTATION_RATE = 17.467559
Mount Agent.AGENT_LIMITS.HA_TRACKING = 1.872401
Mount Agent.AGENT_LIMITS.LOCAL_TIME = 21.359167
Mount Agent.AGENT_LIMITS.COORDINATES_PROPAGATE_THESHOLD = 0.001389
Mount Agent.MOUNT_EQUATORIAL_COORDINATES.RA = 15.718107
Mount Agent.MOUNT_EQUATORIAL_COORDINATES.DEC = 79.112793
Mount SynScan.MOUNT_EQUATORIAL_COORDINATES.RA = 15.718107
Mount SynScan.MOUNT_EQUATORIAL_COORDINATES.DEC = 79.112793
Mount Agent.MOUNT_HORIZONTAL_COORDINATES.AZ = 352.359030
Mount Agent.MOUNT_HORIZONTAL_COORDINATES.ALT = 48.501631
Mount SynScan.MOUNT_HORIZONTAL_COORDINATES.AZ = 352.359030
Mount SynScan.MOUNT_HORIZONTAL_COORDINATES.ALT = 48.501631
Mount Agent.MOUNT_LST_TIME.TIME = 17.571742
Mount SynScan.MOUNT_LST_TIME.TIME = 17.571742
Mount Agent.MOUNT_RAW_COORDINATES.RA = 8.225343
Mount Agent.MOUNT_RAW_COORDINATES.DEC = -59.162832
Mount SynScan.MOUNT_RAW_COORDINATES.RA = 8.225343
Mount SynScan.MOUNT_RAW_COORDINATES.DEC = -59.162832
Mount Agent.AGENT_MOUNT_EQUATORIAL_COORDINATES.RA = 15.718107
Mount Agent.AGENT_MOUNT_EQUATORIAL_COORDINATES.DEC = 79.112793
Mount Agent.AGENT_MOUNT_DISPLAY_COORDINATES_PROPERTY.RA_JNOW = 15.699341
Mount Agent.AGENT_MOUNT_DISPLAY_COORDINATES_PROPERTY.DEC_JNOW = 79.032282
Mount Agent.AGENT_MOUNT_DISPLAY_COORDINATES_PROPERTY.ALT = 48.539621
Mount Agent.AGENT_MOUNT_DISPLAY_COORDINATES_PROPERTY.AZ = 352.224956
Mount Agent.AGENT_MOUNT_DISPLAY_COORDINATES_PROPERTY.AIRMASS = 1.314021
Mount Agent.AGENT_MOUNT_DISPLAY_COORDINATES_PROPERTY.HA = 1.872401
Mount Agent.AGENT_MOUNT_DISPLAY_COORDINATES_PROPERTY.RISE = 0.000000
Mount Agent.AGENT_MOUNT_DISPLAY_COORDINATES_PROPERTY.TRANSIT = 0.491886
Mount Agent.AGENT_MOUNT_DISPLAY_COORDINATES_PROPERTY.SET = 24.000000
Mount Agent.AGENT_MOUNT_DISPLAY_COORDINATES_PROPERTY.TIME_TO_TRANSIT = 10.099946
Mount Agent.AGENT_MOUNT_DISPLAY_COORDINATES_PROPERTY.FLIP_REQUIRED = 0.000000
Mount Agent.AGENT_MOUNT_DISPLAY_COORDINATES_PROPERTY.PARALLACTIC_ANGLE = 146.508007
Mount Agent.AGENT_MOUNT_DISPLAY_COORDINATES_PROPERTY.DEROTATION_RATE = 17.467559
Mount Agent.AGENT_LIMITS.HA_TRACKING = 1.872401
Mount Agent.AGENT_LIMITS.LOCAL_TIME = 21.359167
Mount Agent.AGENT_LIMITS.COORDINATES_PROPAGATE_THESHOLD = 0.001389
Mount Agent.MOUNT_SIDE_OF_PIER.EAST = OFF
Mount Agent.MOUNT_SIDE_OF_PIER.WEST = ON
Mount SynScan.MOUNT_SIDE_OF_PIER.EAST = OFF
Mount SynScan.MOUNT_SIDE_OF_PIER.WEST = ON
Mount Agent.AGENT_MOUNT_EQUATORIAL_COORDINATES.RA = 15.718107
Mount Agent.AGENT_MOUNT_EQUATORIAL_COORDINATES.DEC = 79.112793
Mount Agent.AGENT_MOUNT_DISPLAY_COORDINATES_PROPERTY.RA_JNOW = 15.699341
Mount Agent.AGENT_MOUNT_DISPLAY_COORDINATES_PROPERTY.DEC_JNOW = 79.032282
Mount Agent.AGENT_MOUNT_DISPLAY_COORDINATES_PROPERTY.ALT = 48.539621
Mount Agent.AGENT_MOUNT_DISPLAY_COORDINATES_PROPERTY.AZ = 352.224956
Mount Agent.AGENT_MOUNT_DISPLAY_COORDINATES_PROPERTY.AIRMASS = 1.314021
Mount Agent.AGENT_MOUNT_DISPLAY_COORDINATES_PROPERTY.HA = 1.872401
Mount Agent.AGENT_MOUNT_DISPLAY_COORDINATES_PROPERTY.RISE = 0.000000
Mount Agent.AGENT_MOUNT_DISPLAY_COORDINATES_PROPERTY.TRANSIT = 0.491886
Mount Agent.AGENT_MOUNT_DISPLAY_COORDINATES_PROPERTY.SET = 24.000000
Mount Agent.AGENT_MOUNT_DISPLAY_COORDINATES_PROPERTY.TIME_TO_TRANSIT = 10.099946
Mount Agent.AGENT_MOUNT_DISPLAY_COORDINATES_PROPERTY.FLIP_REQUIRED = 0.000000
Mount Agent.AGENT_MOUNT_DISPLAY_COORDINATES_PROPERTY.PARALLACTIC_ANGLE = 146.508007
Mount Agent.AGENT_MOUNT_DISPLAY_COORDINATES_PROPERTY.DEROTATION_RATE = 17.467559
Mount Agent.AGENT_LIMITS.HA_TRACKING = 1.872401
Mount Agent.AGENT_LIMITS.LOCAL_TIME = 21.359167
Mount Agent.AGENT_LIMITS.COORDINATES_PROPAGATE_THESHOLD = 0.001389
Mount Agent.MOUNT_EQUATORIAL_COORDINATES.RA = 15.718107
Mount Agent.MOUNT_EQUATORIAL_COORDINATES.DEC = 79.112793
Mount SynScan.MOUNT_EQUATORIAL_COORDINATES.RA = 15.718107
Mount SynScan.MOUNT_EQUATORIAL_COORDINATES.DEC = 79.112793
Mount Agent.MOUNT_HORIZONTAL_COORDINATES.AZ = 352.359030
Mount Agent.MOUNT_HORIZONTAL_COORDINATES.ALT = 48.501631
Mount SynScan.MOUNT_HORIZONTAL_COORDINATES.AZ = 352.359030
Mount SynScan.MOUNT_HORIZONTAL_COORDINATES.ALT = 48.501631
Mount Agent.MOUNT_LST_TIME.TIME = 17.571742
Mount SynScan.MOUNT_LST_TIME.TIME = 17.571742

pi@raspberrypi:~ $ indigo_prop_tool list
Server.INFO.VERSION = "2.0-334"
Server.INFO.SERVICE = "raspberrypi"
Server.DRIVERS.indigo_aux_cloudwatcher = OFF
Server.DRIVERS.indigo_focuser_focusdreampro = OFF
Server.DRIVERS.indigo_ccd_altair = OFF
Server.DRIVERS.indigo_ccd_apogee = OFF
Server.DRIVERS.indigo_aux_arteskyflat = OFF
Server.DRIVERS.indigo_system_ascol = OFF
Server.DRIVERS.indigo_agent_alpaca = OFF
Server.DRIVERS.indigo_agent_astap = OFF
Server.DRIVERS.indigo_focuser_astroasis = OFF
